County/Area,Claim Type,Month,Yr,Date,Claims,Last month claims,Last year claims,Month net change,Year net change,,,
ADAMS,Continued claims,1,2005,1/1/05,696,,,,,,,
ASOTIN,Continued claims,1,2005,1/1/05,236,,,,,,,
BENTON,Continued claims,1,2005,1/1/05,2799,,,,,,,
CHELAN,Continued claims,1,2005,1/1/05,2110,,,,,,,
CLALLAM,Continued claims,1,2005,1/1/05,1077,,,,,,,
CLARK,Continued claims,1,2005,1/1/05,4176,,,,,,,
COLUMBIA,Continued claims,1,2005,1/1/05,76,,,,,,,
COWLITZ,Continued claims,1,2005,1/1/05,1772,,,,,,,
DOUGLAS,Continued claims,1,2005,1/1/05,941,,,,,,,
FERRY,Continued claims,1,2005,1/1/05,163,,,,,,,
FRANKLIN,Continued claims,1,2005,1/1/05,1876,,,,,,,
GARFIELD,Continued claims,1,2005,1/1/05,21,,,,,,,
GRANT,Continued claims,1,2005,1/1/05,2678,,,,,,,
GRAYS HARBOR,Continued claims,1,2005,1/1/05,1602,,,,,,,
ISLAND,Continued claims,1,2005,1/1/05,645,,,,,,,
JEFFERSON,Continued claims,1,2005,1/1/05,339,,,,,,,
KING,Continued claims,1,2005,1/1/05,22202,,,,,,,
KITSAP,Continued claims,1,2005,1/1/05,2354,,,,,,,
KITTITAS,Continued claims,1,2005,1/1/05,719,,,,,,,
KLICKITAT,Continued claims,1,2005,1/1/05,499,,,,,,,
LEWIS,Continued claims,1,2005,1/1/05,1457,,,,,,,
LINCOLN,Continued claims,1,2005,1/1/05,150,,,,,,,
MASON,Continued claims,1,2005,1/1/05,780,,,,,,,
OKANOGAN,Continued claims,1,2005,1/1/05,1337,,,,,,,
PACIFIC,Continued claims,1,2005,1/1/05,387,,,,,,,
PEND OREILLE,Continued claims,1,2005,1/1/05,225,,,,,,,
PIERCE,Continued claims,1,2005,1/1/05,10160,,,,,,,
SAN JUAN,Continued claims,1,2005,1/1/05,186,,,,,,,
SKAGIT,Continued claims,1,2005,1/1/05,2137,,,,,,,
SKAMANIA,Continued claims,1,2005,1/1/05,219,,,,,,,
SNOHOMISH,Continued claims,1,2005,1/1/05,9609,,,,,,,
SPOKANE,Continued claims,1,2005,1/1/05,7653,,,,,,,
STEVENS,Continued claims,1,2005,1/1/05,967,,,,,,,
THURSTON,Continued claims,1,2005,1/1/05,2812,,,,,,,
WAHKIAKUM,Continued claims,1,2005,1/1/05,55,,,,,,,
WALLA WALLA,Continued claims,1,2005,1/1/05,948,,,,,,,
WHATCOM,Continued claims,1,2005,1/1/05,2736,,,,,,,
WHITMAN,Continued claims,1,2005,1/1/05,190,,,,,,,
YAKIMA,Continued claims,1,2005,1/1/05,7516,,,,,,,
ADAMS,Initial claims,1,2005,1/1/05,151,,,,,,,
ASOTIN,Initial claims,1,2005,1/1/05,75,,,,,,,
BENTON,Initial claims,1,2005,1/1/05,1059,,,,,,,
CHELAN,Initial claims,1,2005,1/1/05,844,,,,,,,
CLALLAM,Initial claims,1,2005,1/1/05,517,,,,,,,
CLARK,Initial claims,1,2005,1/1/05,1746,,,,,,,
COLUMBIA,Initial claims,1,2005,1/1/05,28,,,,,,,
COWLITZ,Initial claims,1,2005,1/1/05,661,,,,,,,
DOUGLAS,Initial claims,1,2005,1/1/05,336,,,,,,,
FERRY,Initial claims,1,2005,1/1/05,46,,,,,,,
FRANKLIN,Initial claims,1,2005,1/1/05,480,,,,,,,
GARFIELD,Initial claims,1,2005,1/1/05,9,,,,,,,
GRANT,Initial claims,1,2005,1/1/05,706,,,,,,,
GRAYS HARBOR,Initial claims,1,2005,1/1/05,573,,,,,,,
ISLAND,Initial claims,1,2005,1/1/05,262,,,,,,,
JEFFERSON,Initial claims,1,2005,1/1/05,132,,,,,,,
KING,Initial claims,1,2005,1/1/05,8016,,,,,,,
KITSAP,Initial claims,1,2005,1/1/05,927,,,,,,,
KITTITAS,Initial claims,1,2005,1/1/05,299,,,,,,,
KLICKITAT,Initial claims,1,2005,1/1/05,168,,,,,,,
LEWIS,Initial claims,1,2005,1/1/05,567,,,,,,,
LINCOLN,Initial claims,1,2005,1/1/05,48,,,,,,,
MASON,Initial claims,1,2005,1/1/05,346,,,,,,,
OKANOGAN,Initial claims,1,2005,1/1/05,459,,,,,,,
PACIFIC,Initial claims,1,2005,1/1/05,116,,,,,,,
PEND OREILLE,Initial claims,1,2005,1/1/05,100,,,,,,,
PIERCE,Initial claims,1,2005,1/1/05,4371,,,,,,,
SAN JUAN,Initial claims,1,2005,1/1/05,85,,,,,,,
SKAGIT,Initial claims,1,2005,1/1/05,787,,,,,,,
SKAMANIA,Initial claims,1,2005,1/1/05,110,,,,,,,
SNOHOMISH,Initial claims,1,2005,1/1/05,3812,,,,,,,
SPOKANE,Initial claims,1,2005,1/1/05,3049,,,,,,,
STEVENS,Initial claims,1,2005,1/1/05,364,,,,,,,
THURSTON,Initial claims,1,2005,1/1/05,1169,,,,,,,
WAHKIAKUM,Initial claims,1,2005,1/1/05,14,,,,,,,
WALLA WALLA,Initial claims,1,2005,1/1/05,272,,,,,,,
WHATCOM,Initial claims,1,2005,1/1/05,1220,,,,,,,
WHITMAN,Initial claims,1,2005,1/1/05,81,,,,,,,
YAKIMA,Initial claims,1,2005,1/1/05,2417,,,,,,,
WASHINGTON STATE,Initial claims,1,2005,1/1/05,52425,,,,,,,
WASHINGTON STATE,Continued claims,1,2005,1/1/05,96511,,,,,,,
ADAMS,Continued claims,2,2005,2/1/05,509,696,,-187,,,,
ASOTIN,Continued claims,2,2005,2/1/05,211,236,,-25,,,,
BENTON,Continued claims,2,2005,2/1/05,2038,2799,,-761,,,,
CHELAN,Continued claims,2,2005,2/1/05,1690,2110,,-420,,,,
CLALLAM,Continued claims,2,2005,2/1/05,819,1077,,-258,,,,
CLARK,Continued claims,2,2005,2/1/05,3619,4176,,-557,,,,
COLUMBIA,Continued claims,2,2005,2/1/05,64,76,,-12,,,,
COWLITZ,Continued claims,2,2005,2/1/05,1389,1772,,-383,,,,
DOUGLAS,Continued claims,2,2005,2/1/05,712,941,,-229,,,,
FERRY,Continued claims,2,2005,2/1/05,153,163,,-10,,,,
FRANKLIN,Continued claims,2,2005,2/1/05,1409,1876,,-467,,,,
GARFIELD,Continued claims,2,2005,2/1/05,17,21,,-4,,,,
GRANT,Continued claims,2,2005,2/1/05,2072,2678,,-606,,,,
GRAYS HARBOR,Continued claims,2,2005,2/1/05,1150,1602,,-452,,,,
ISLAND,Continued claims,2,2005,2/1/05,526,645,,-119,,,,
JEFFERSON,Continued claims,2,2005,2/1/05,300,339,,-39,,,,
KING,Continued claims,2,2005,2/1/05,19353,22202,,-2849,,,,
KITSAP,Continued claims,2,2005,2/1/05,2003,2354,,-351,,,,
KITTITAS,Continued claims,2,2005,2/1/05,663,719,,-56,,,,
KLICKITAT,Continued claims,2,2005,2/1/05,440,499,,-59,,,,
LEWIS,Continued claims,2,2005,2/1/05,1173,1457,,-284,,,,
LINCOLN,Continued claims,2,2005,2/1/05,118,150,,-32,,,,
MASON,Continued claims,2,2005,2/1/05,682,780,,-98,,,,
OKANOGAN,Continued claims,2,2005,2/1/05,1034,1337,,-303,,,,
